televisione,attore,bn:00012048n,bn:00001176n,televisore televisione tv  tele    teleschermo,attore  attrice istrione    interprete  attori
delta,mare,bn:00026081n,bn:00069946n,delta  delta fluviale  foce a delta    Delta fluviali  delta del fiume,mare    acque   mare interno
filato,filo,bn:00077028n,bn:00077028n,filato    filo    refe    cucirino    filo di cotone filato,filato    filo    refe    cucirino    filo di cotone filato
attraversamento pedonale,persona,bn:00061238n,bn:00044576n,attraversamento pedonale strisce pedonali    passaggio pedonale  attraversamento zebrato strisce,uomo    essere umano    Homo    umano   Homo sapiens sapiens
proteina,maniglia,bn:00064855n,bn:00041820n,proteina    proteine    protide isoforme    proteica,manico impugnatura manopola    maniglia    ansa
U2,Ronaldo,bn:03320432n,bn:03464322n,U2 Passengers  U-2,Cristiano Ronaldo   CR7 Cristiano Ronaldo dos Santos Aveiro Ronaldo
Apple,iPhone,bn:03739345n,bn:03773392n,Apple    AAPL Apple Inc. Apple Computer  Apple Computer Inc,iPhone   I phone melafonino  applicazione per iphone
menta piperita,gomma,bn:00054382n,bn:00013545n,menta piperita   Mentha piperita menta   menta peperita  Mentha x piperita,gomma da masticare    bubble gum  chewing gum gomma   gomma americana
poster,carta,bn:00010395n,bn:00062308n,cartellone   manifesto   cartello    affiche poster,foglio   carta   foglio di carta pezzo di carta
UNICEF,radice,bn:00079074n,bn:00068246n,UNICEF  Fondo delle Nazioni Unite per l'infanzia    Fondo internazionale di emergenza delle Nazioni Unite per l'infanzia    U.N.I.C.E.F.    Fondo di Emergenza delle Nazioni Unite per l'Infanzia,radice    radica  barba   Apparato radicale   radichetta
xenofobia,razzismo,bn:00081765n,bn:00065822n,xenofobia  xenofobo    senofobia   Paura del diverso   Xenofoba,razzismo   razzialismo discriminazione etnica  discriminazione razziale    antiapartheid
Woody Allen,lente,bn:00002833n,bn:00050673n,Woody Allen Allen Stewart Konigsberg    Allan Stewart Konigsberg    Allan Stewart Königsberg    Allen Stewart Königsberg,lente  sistema di lenti    centro ottico   Lente oftalmica lente piano-convessa
lampada,genio,bn:00048964n,bn:16574144n,lucerna lampada a cherosene lampada ad olio Lampada a petrolio  Lampada a kerosene,Genio della lampada  Genio
marina militare,isola,bn:00057052n,bn:00047612n,marina  marina militare marineria   flotta  Forze navali,isola  isole   isola fluviale  isola lacustre  isola continentale
muro,castello,bn:00080386n,bn:00016570n,muro    parete,castello maniero fortezza    fortificazione  saliente
dinosauro,elefante,bn:00027226n,bn:00030314n,dinosauro  dinosauria  Dinosauri   Classificazione dei dinosauri,elefante  elefanti
torre dell'orologio,pietra,bn:00019894n,bn:14894574n,torre dell'orologio    campanili   orologio castello   orologio torre,pietra
medio oriente,Eufrate,bn:00054852n,bn:00031871n,Medio Oriente   Vicino Oriente  Medio-Oriente   Asia Anteriore  Asia sud-occidentale,Eufrate    Al-Furāt    fiume eufrate
prato,prateria,bn:00043214n,bn:00064010n,prato  campo di fieno  prati,prateria  prateria nordamericana   praterie
chitarra,violino,bn:00042150n,bn:00034250n,chitarra chitarre    chitarra ritmica    chitarra solista    flatpicking,violino fiddle  violina violini violinisti
diplomazia,negoziato,bn:00027281n,bn:00026838n,diplomazia   rapporti diplomatici    relazioni diplomatiche  Crisi diplomatica   Relazione diplomatica,negoziato negoziazione    trattativa  contrattazione  dialogo
gravità,meteora,bn:00041491n,bn:13856218n,gravità   gravitazione    interazione gravitazionale  forza di gravità    Legge della gravitazione universale,meteora stella cadente
QI,Mensa,bn:00045677n,bn:00014561n,quoziente d'intelligenza quoziente intellettivo  Q.I.    Quoziente di intelligenza   test d'intelligenza,mensa   cafeteria   self-service    caffetteria caffetteria-ristorante in stile
Union Jack,bandiera,bn:02394388n,bn:00030968n,bandiera del Regno Unito  bandiera Britannica Union Flag  Union Jack,bandiera nazionale   bandiera    bandiera navale Bandiera civile Bandiera di Stato
